,date,sentiment
627,20130114,0.6
628,20130115,-0.4
629,20130116,0.5
630,20130117,0.4
619,20130118,0.4
931,20130122,0.7
930,20130123,0.4
933,20130124,0.5
932,20130125,0.5
935,20130128,0.5
934,20130129,0.5
838,20130130,0.5
839,20130131,0.5
1384,20130201,0.2
1385,20130204,0.5
1386,20130205,0.5
1387,20130206,0.8
1388,20130207,0.5
1389,20130208,0.2
1479,20130211,0.5
1478,20130212,0.4
1477,20130213,0.5
1481,20130214,0.35
1480,20130215,0.5
1482,20130219,0.4
86,20130220,0.5
87,20130221,0.5
84,20130222,0.5
83,20130225,0.7
81,20130226,0.5
82,20130227,0.4
617,20130228,0.5
1270,20130301,0.5
1272,20130304,0.6
1271,20130305,0.6
1274,20130306,0.8
1273,20130307,0.5
1269,20130308,0.5
1039,20130311,0.5
1185,20130312,0.5
1186,20130313,0.533333333333
1183,20130314,0.5
1184,20130315,0.5
1190,20130318,0.5
1191,20130319,0.5
1079,20130320,0.5
1078,20130321,0.3
1077,20130322,0.5
1082,20130325,0.35
1081,20130326,0.5
1080,20130327,0.5
1083,20130328,0.6
395,20130401,0.2
393,20130402,0.5
394,20130403,1.1
391,20130404,0.4
710,20130405,0.5
401,20130408,0.6
721,20130409,0.5
512,20130410,0.5
511,20130411,0.5
513,20130412,0.5
514,20130415,0.6
516,20130416,0.5
515,20130417,0.5
510,20130418,0.5
509,20130419,0.5
168,20130422,0.5
169,20130423,0.5
170,20130424,0.5
171,20130425,0.6
172,20130426,0.5
173,20130429,0.5
285,20130430,0.5
282,20130501,0.5
281,20130502,0.5
280,20130503,0.5
279,20130506,0.5
278,20130507,0.2
277,20130508,0.5
276,20130509,0.5
159,20130510,0.5
160,20130513,0.5
155,20130514,0.5
156,20130515,0.5
157,20130516,0.5
158,20130517,0.5
496,20130520,0.6
495,20130521,0.4
498,20130522,0.4
497,20130523,0.5
494,20130524,0.5
500,20130528,0.5
499,20130529,0.5
378,20130530,0.5
379,20130531,0.5
616,20130603,0.5
612,20130604,0.5
613,20130605,0.9
614,20130606,0.2
615,20130607,0.5
717,20130610,0.5
716,20130611,0.5
715,20130612,0.5
714,20130613,0.5
713,20130614,0.5
712,20130617,0.5
719,20130618,0.333333333333
718,20130619,0.8
826,20130620,0.5
827,20130621,0.5
830,20130624,0.5
831,20130625,0.5
828,20130626,0.5
829,20130627,0.7
825,20130628,0.4
526,20130701,0.5
528,20130702,0.5
527,20130703,0.6
524,20130705,0.5
523,20130708,0.5
522,20130709,0.5
412,20130710,0.5
413,20130711,0.5
411,20130712,0.5
416,20130715,0.8
414,20130716,0.35
415,20130717,0.5
409,20130718,0.5
410,20130719,0.6
299,20130722,0.8
298,20130723,0.5
297,20130724,0.3
296,20130725,0.5
295,20130726,0.65
300,20130729,0.7
187,20130730,0.5
188,20130731,0.5
1014,20130801,0.7
1400,20130802,0.5
1017,20130805,0.5
1015,20130806,0.6
1055,20130807,0.55
1005,20130808,0.7
1006,20130809,0.5
1129,20130812,0.6
1128,20130813,0.5
545,20130814,0.5
542,20130815,0.45
1125,20130816,0.5
1119,20130819,0.6
757,20130820,0.5
758,20130821,0.5
759,20130822,0.5
760,20130823,0.5
755,20130826,0.5
756,20130827,1.0
6,20130828,0.5
9,20130829,0.5
854,20130830,0.2
293,20130903,0.5
735,20130904,0.45
707,20130905,0.5
873,20130906,0.5
878,20130909,0.5
771,20130910,0.3
772,20130911,0.5
773,20130912,0.9
774,20130913,0.5
777,20130916,0.5
778,20130917,0.5
49,20130918,0.5
50,20130919,0.5
1094,20130920,0.5
1095,20130923,0.5
1098,20130924,0.5
478,20130925,0.5
1100,20130926,0.5
1099,20130927,0.5
986,20130930,0.5
1452,20131001,0.5
1455,20131002,0.5
1454,20131003,0.5
1449,20131004,0.0
1154,20131007,0.5
1447,20131008,0.5
1446,20131009,0.4
1355,20131010,0.5
1356,20131011,0.5
1359,20131014,0.5
1360,20131015,0.5
1357,20131016,0.5
1358,20131017,0.5
1352,20131018,0.5
1247,20131021,0.5
1246,20131022,0.5
1245,20131023,0.5
1244,20131024,0.7
1243,20131025,0.55
1249,20131028,0.5
1248,20131029,0.5
1163,20131030,0.7
1164,20131031,0.5
44,20131101,0.5
40,20131104,0.5
41,20131105,0.5
42,20131106,0.7
43,20131107,0.5
45,20131108,0.5
178,20131111,0.5
177,20131112,0.5
176,20131113,0.5
175,20131114,0.5
174,20131115,0.5
180,20131118,0.5
179,20131119,0.5
288,20131120,0.5
289,20131121,0.4
286,20131122,0.5
292,20131125,0.5
290,20131126,0.45
73,20131127,0.5
60,20131129,0.5
1216,20131202,0.5
1215,20131203,0.7
1214,20131204,0.5
1213,20131205,0.5
1212,20131206,0.5
1211,20131209,0.5
1134,20131210,0.5
1135,20131211,0.5
1136,20131212,0.5
1137,20131213,0.5
1132,20131216,0.5
1133,20131217,0.5
1130,20131218,0.7
1131,20131219,0.5
1417,20131220,0.7
1418,20131223,0.5
1414,20131224,0.6
1416,20131226,0.5
1415,20131227,0.5
1307,20131230,0.4
1308,20131231,0.5
1145,20140102,0.5
618,20140103,0.5
90,20140106,0.5
91,20140107,0.5
1052,20140108,0.5
85,20140109,0.5
206,20140110,0.5
205,20140113,0.5
204,20140114,0.5
203,20140115,0.5
202,20140116,0.5
201,20140117,0.5
334,20140121,0.4
388,20140122,0.5
333,20140123,0.5
336,20140124,0.1
335,20140127,0.5
337,20140128,0.5
338,20140129,0.5
1038,20140130,0.5
1037,20140131,0.5
703,20140203,0.5
603,20140204,0.55
697,20140205,0.5
869,20140206,0.4
695,20140207,0.25
775,20140210,0.5
705,20140211,1.1
47,20140212,0.5
48,20140213,0.55
675,20140214,0.7
57,20140218,0.45
59,20140219,0.45
479,20140220,0.466666666667
1097,20140221,0.65
470,20140224,0.65
1093,20140225,0.5
1096,20140226,0.65
476,20140227,0.8
1092,20140228,0.5
1016,20140303,0.45
1013,20140304,0.5
1403,20140305,0.5
1011,20140306,0.5
1012,20140307,0.575
1116,20140310,0.466666666667
1115,20140311,0.35
1118,20140312,0.575
1117,20140313,0.5
1120,20140314,0.4
1121,20140317,0.55
1124,20140318,0.85
1123,20140319,0.5
811,20140320,0.1
